Step,Accuracy,Loss
512,10.15625,0.32479578256607056
1024,19.53125,0.3196205794811249
1536,18.75,0.31839853525161743
2048,6.25,0.3249945640563965
2560,25.0,0.32209524512290955
3072,10.15625,0.32813405990600586
3584,15.625,0.30972403287887573
4096,20.3125,0.31221848726272583
4608,22.65625,0.31754255294799805
5120,21.875,0.30671006441116333
5504,20.3125,0.31641167402267456
6016,20.3125,0.32566243410110474
6528,16.40625,0.31393954157829285
7040,16.40625,0.3171117901802063
7552,14.0625,0.3049061894416809
8064,28.90625,0.3011665940284729
8576,19.53125,0.3184942603111267
9088,13.28125,0.34937575459480286
9600,21.875,0.2983852028846741
10112,26.5625,0.29598361253738403
10624,18.75,0.30528780817985535
11008,25.78125,0.29859763383865356
11520,20.3125,0.3121485710144043
12032,27.34375,0.2961661219596863
12544,20.3125,0.31122925877571106
13056,27.34375,0.2935071289539337
13568,24.21875,0.303692102432251
14080,27.34375,0.28521206974983215
14592,17.96875,0.30835241079330444
15104,32.03125,0.2959720194339752
15616,33.59375,0.29578298330307007
16000,34.375,0.2779523730278015
16512,32.8125,0.29458948969841003
17024,25.0,0.311679869890213
17536,28.125,0.2932624816894531
18048,32.8125,0.2971930503845215
18560,32.03125,0.2864803671836853
19072,28.125,0.31455424427986145
19584,28.90625,0.27548620104789734
20096,25.0,0.30811217427253723
20608,32.03125,0.27700990438461304
21120,35.15625,0.2827611267566681
21504,32.8125,0.288666695356369
22016,33.59375,0.27468010783195496
22528,25.78125,0.29507797956466675
23040,31.25,0.28989583253860474
23552,32.8125,0.2785256505012512
24064,31.25,0.2802564799785614
24576,34.375,0.26859575510025024
25088,29.6875,0.30931776762008667
25600,36.71875,0.2701966166496277
26112,30.46875,0.2970026135444641
26624,35.15625,0.2864556908607483
27008,35.9375,0.2763185203075409
27520,36.71875,0.27598074078559875
28032,28.125,0.27642396092414856
28544,34.375,0.28113576769828796
29056,39.0625,0.26747840642929077
29568,29.6875,0.2768712043762207
30080,28.90625,0.2850744426250458
30592,32.03125,0.29086512327194214
31104,32.03125,0.29418736696243286
31616,32.8125,0.27311182022094727
32000,39.84375,0.2618911564350128
32512,34.375,0.2750656306743622
33024,32.8125,0.2864133417606354
33536,34.375,0.27602121233940125
34048,34.375,0.28316760063171387
34560,30.46875,0.3023603856563568
35072,34.375,0.27488377690315247
35584,39.84375,0.2688184380531311
36096,35.9375,0.28070634603500366
36608,44.53125,0.2558801472187042
37120,40.625,0.2712233066558838
37504,39.84375,0.28072187304496765
38016,45.3125,0.25034186244010925
38528,38.28125,0.2888891100883484
39040,39.84375,0.2668320834636688
39552,35.15625,0.3261614441871643
40064,24.21875,0.30939677357673645
40576,36.71875,0.27526572346687317
41088,32.8125,0.26862460374832153
41600,39.84375,0.2578112483024597
42112,39.0625,0.2638617157936096
42624,39.84375,0.25956910848617554
43008,30.46875,0.2925686538219452
43520,37.5,0.2915681004524231
44032,35.9375,0.28084826469421387
44544,35.15625,0.2880653738975525
45056,40.625,0.26491624116897583
45568,32.03125,0.2624211311340332
46080,42.1875,0.2587093710899353
46592,41.40625,0.2629110515117645
47104,36.71875,0.27003926038742065
47616,36.71875,0.2696189284324646
48000,43.75,0.26779037714004517
48512,43.75,0.2834506034851074
49024,42.96875,0.2664955258369446
49536,32.8125,0.28296807408332825
50048,46.09375,0.24945944547653198
50560,34.375,0.2699856758117676
51072,43.75,0.24601387977600098
51584,43.75,0.26605966687202454
52096,43.75,0.24672961235046387
52608,39.0625,0.26199012994766235
53120,39.84375,0.26246193051338196
53504,40.625,0.264139860868454
54016,40.625,0.29203420877456665
54528,34.375,0.27962082624435425
55040,44.53125,0.26730114221572876
55552,35.9375,0.2847933769226074
56064,28.90625,0.32111212611198425
56576,36.71875,0.27209216356277466
57088,35.15625,0.2599779963493347
57600,48.4375,0.2627536654472351
58112,39.0625,0.26221558451652527
58624,48.4375,0.2426917552947998
59008,41.40625,0.24442750215530396
59520,41.40625,0.23523567616939545
60032,39.84375,0.269428551197052
60544,45.3125,0.24762915074825287
61056,46.875,0.23541259765625
61568,42.1875,0.29663580656051636
62080,37.5,0.27608340978622437
62592,45.3125,0.25779908895492554
63104,33.59375,0.2772373855113983
63616,43.75,0.24655455350875854
64000,43.75,0.25460341572761536
64512,48.4375,0.2385139912366867
65024,39.84375,0.2552523612976074
65536,44.53125,0.22954873740673065
66048,47.65625,0.2543339431285858
66560,38.28125,0.2611972987651825
67072,42.1875,0.27238208055496216
67584,39.0625,0.2851119637489319
68096,53.125,0.23692156374454498
68608,48.4375,0.2502722144126892
69120,47.65625,0.25109320878982544
69504,41.40625,0.2584221065044403
70016,50.0,0.26161763072013855
70528,39.84375,0.30336815118789673
71040,48.4375,0.24814079701900482
71552,46.875,0.23776477575302124
72064,43.75,0.277922660112381
72576,44.53125,0.2745286822319031
73088,44.53125,0.2579381465911865
73600,44.53125,0.28419944643974304
74112,51.5625,0.24384067952632904
74624,54.6875,0.24668262898921967
75008,50.78125,0.24943284690380096
75520,50.78125,0.23950551450252533
76032,45.3125,0.2498624473810196
76544,46.09375,0.23677748441696167
77056,47.65625,0.2495129257440567
77568,43.75,0.2544653117656708
78080,43.75,0.26669973134994507
78592,45.3125,0.2608051896095276
79104,39.0625,0.2667555809020996
79616,42.96875,0.2617204785346985
80000,51.5625,0.25168293714523315
80512,45.3125,0.2542259395122528
81024,44.53125,0.2715826630592346
81536,47.65625,0.24479252099990845
82048,60.15625,0.21124321222305298
82560,45.3125,0.26071423292160034
83072,50.0,0.23645426332950592
83584,49.21875,0.22210103273391724
84096,57.03125,0.2186545431613922
84608,48.4375,0.25132280588150024
85120,53.90625,0.22633741796016693
85504,52.34375,0.2284744381904602
86016,49.21875,0.25401824712753296
86528,48.4375,0.23956798017024994
87040,46.09375,0.24163419008255005
87552,48.4375,0.2731180787086487
88064,46.875,0.26465123891830444
88576,46.875,0.2634912133216858
89088,39.84375,0.27146977186203003
89600,49.21875,0.24775411188602448
90112,46.875,0.26798635721206665
90624,39.0625,0.2543174922466278
91008,59.375,0.204012930393219
91520,56.25,0.2199750542640686
92032,43.75,0.2709251046180725
92544,52.34375,0.25481081008911133
93056,56.25,0.21993476152420044
93568,60.15625,0.22682927548885345
94080,51.5625,0.2536999583244324
94592,53.125,0.23964601755142212
95104,48.4375,0.248957097530365
95616,46.09375,0.2518789768218994
96000,55.46875,0.24354197084903717
96512,52.34375,0.23426508903503418
97024,57.03125,0.22589828073978424
97536,53.90625,0.24336861073970795
98048,52.34375,0.2615339457988739
98560,56.25,0.22535227239131927
99072,49.21875,0.2320823222398758
99584,42.96875,0.25229161977767944
100096,58.59375,0.20865875482559204
100608,45.3125,0.2567138969898224
101120,50.0,0.24291352927684784
101504,47.65625,0.2548706531524658
102016,55.46875,0.24272777140140533
102528,48.4375,0.2507317066192627
103040,46.09375,0.25397989153862
103552,57.03125,0.2448609322309494
104064,60.15625,0.22368384897708893
104576,57.8125,0.22295789420604706
105088,50.0,0.22718645632266998
105600,44.53125,0.2397337555885315
106112,60.9375,0.20548631250858307
106624,52.34375,0.24211114645004272
107008,50.0,0.2658381760120392
107520,53.125,0.20560289919376373
108032,56.25,0.22125297784805298
108544,56.25,0.216417133808136
109056,56.25,0.22140875458717346
109568,46.09375,0.27231118083000183
110080,54.6875,0.2351837009191513
110592,50.78125,0.2479555755853653
111104,55.46875,0.22975824773311615
111616,57.8125,0.229902446269989
112000,55.46875,0.22312401235103607
112512,46.875,0.23561353981494904
113024,53.125,0.21645261347293854
113536,61.71875,0.19856587052345276
114048,53.125,0.2317371964454651
114560,50.0,0.2271738201379776
115072,58.59375,0.2177693247795105
115584,46.09375,0.28272753953933716
116096,55.46875,0.21663810312747955
116608,55.46875,0.22361189126968384
117120,53.125,0.2650153338909149
117504,55.46875,0.25925424695014954
118016,51.5625,0.22634464502334595
118528,56.25,0.20687562227249146
119040,57.8125,0.22573520243167877
119552,55.46875,0.19714954495429993
120064,60.9375,0.20877522230148315
120576,51.5625,0.22828416526317596
121088,56.25,0.23402591049671173
121600,52.34375,0.23036308586597443
122112,51.5625,0.2792241871356964
122624,57.8125,0.2314862608909607
123008,54.6875,0.24376483261585236
123520,57.8125,0.20188313722610474
124032,54.6875,0.20903538167476654
124544,59.375,0.24653483927249908
125056,55.46875,0.23626898229122162
125568,62.5,0.21870890259742737
126080,54.6875,0.21254593133926392
126592,54.6875,0.22687719762325287
127104,57.03125,0.2316746562719345
127616,53.125,0.22790507972240448
128000,56.25,0.23000790178775787
128512,50.78125,0.24304431676864624
129024,53.125,0.23564480245113373
129536,56.25,0.20132869482040405
130048,56.25,0.2264239341020584
130560,60.9375,0.24242068827152252
131072,51.5625,0.26647084951400757
131584,52.34375,0.23544925451278687
132096,60.15625,0.2184371054172516
132608,57.8125,0.20901590585708618
133120,57.8125,0.2242589145898819
133504,53.90625,0.24461644887924194
134016,57.8125,0.21068499982357025
134528,55.46875,0.2333810180425644
135040,59.375,0.21390984952449799
135552,52.34375,0.240672305226326
136064,57.8125,0.2162163108587265
136576,56.25,0.22362297773361206
137088,60.15625,0.21515235304832458
137600,61.71875,0.19299618899822235
138112,62.5,0.20636175572872162
138624,56.25,0.22062350809574127
139008,51.5625,0.23752714693546295
139520,59.375,0.28793734312057495
140032,53.90625,0.2890034317970276
140544,61.71875,0.20375607907772064
141056,50.0,0.22807639837265015
141568,57.8125,0.22745154798030853
142080,59.375,0.2210385650396347
142592,50.0,0.23580960929393768
143104,57.03125,0.23426388204097748
143616,59.375,0.2236788421869278
144000,60.15625,0.20841366052627563
144512,53.90625,0.21950846910476685
145024,53.125,0.24490123987197876
145536,56.25,0.19339443743228912
146048,60.9375,0.18666218221187592
146560,68.75,0.1898021697998047
147072,56.25,0.22587920725345612
147584,55.46875,0.22733570635318756
148096,57.8125,0.23418281972408295
148608,54.6875,0.2353782057762146
149120,59.375,0.19562356173992157
149504,59.375,0.21868754923343658
150016,59.375,0.2010689675807953
150528,59.375,0.20905615389347076
151040,65.625,0.1963704228401184
151552,57.8125,0.2270836979150772
152064,54.6875,0.25513148307800293
152576,66.40625,0.1807098537683487
153088,54.6875,0.2040533423423767
153600,67.1875,0.1931115835905075
154112,67.1875,0.1951608508825302
154624,63.28125,0.18147078156471252
155008,59.375,0.2151963859796524
155520,56.25,0.2470710426568985
156032,65.625,0.19355416297912598
156544,59.375,0.2102634310722351
157056,64.0625,0.24708415567874908
157568,64.0625,0.23324137926101685
158080,60.9375,0.19556476175785065
158592,60.9375,0.2764282822608948
159104,65.625,0.1781149059534073
159616,55.46875,0.2683303654193878
160000,62.5,0.2541341483592987
160512,60.9375,0.20338843762874603
161024,67.1875,0.18208010494709015
