Step,Accuracy,Loss
512,7.8125,0.32495278120040894
1024,10.9375,0.3237299919128418
1536,14.84375,0.3217974007129669
2048,8.59375,0.32609325647354126
2560,10.9375,0.3250662684440613
3072,8.59375,0.32430949807167053
3584,14.84375,0.3239935040473938
4096,16.40625,0.3232394754886627
4608,15.625,0.317594975233078
5120,15.625,0.32419058680534363
5504,12.5,0.32624199986457825
6016,14.0625,0.3250190317630768
6528,8.59375,0.3250640332698822
7040,13.28125,0.3242964744567871
7552,9.375,0.3257982134819031
8064,8.59375,0.32474321126937866
8576,15.625,0.325076162815094
9088,7.8125,0.32497838139533997
9600,14.84375,0.3248165547847748
10112,7.8125,0.32566550374031067
10624,10.15625,0.324381023645401
11008,18.75,0.3215375244617462
11520,10.9375,0.3194273114204407
12032,15.625,0.3397553861141205
12544,10.15625,0.32753056287765503
13056,10.9375,0.324581116437912
13568,7.8125,0.32456108927726746
14080,10.15625,0.32606440782546997
14592,7.8125,0.32526496052742004
15104,14.0625,0.32394376397132874
15616,7.03125,0.3251630663871765
16000,11.71875,0.32375282049179077
16512,10.9375,0.32480815052986145
17024,11.71875,0.3246590197086334
17536,10.15625,0.3251713216304779
18048,14.0625,0.32602500915527344
18560,10.9375,0.3241540789604187
19072,13.28125,0.3242970108985901
19584,12.5,0.32439082860946655
20096,12.5,0.32368987798690796
20608,12.5,0.3212337791919708
21120,20.3125,0.3191061317920685
21504,10.15625,0.32102376222610474
22016,20.3125,0.3115854561328888
22528,24.21875,0.3094463050365448
23040,23.4375,0.31082722544670105
23552,19.53125,0.30596402287483215
24064,17.1875,0.3052854537963867
24576,20.3125,0.30984732508659363
25088,26.5625,0.31321364641189575
25600,18.75,0.314622700214386
26112,17.96875,0.3189062476158142
26624,16.40625,0.31089848279953003
27008,23.4375,0.30385497212409973
27520,20.3125,0.30579087138175964
28032,21.875,0.31795838475227356
28544,23.4375,0.30739516019821167
29056,24.21875,0.2851983904838562
29568,21.875,0.29585474729537964
30080,24.21875,0.31051966547966003
30592,21.875,0.3012043833732605
31104,28.90625,0.29569554328918457
31616,17.96875,0.3008723855018616
32000,22.65625,0.309298038482666
32512,25.0,0.2989802956581116
33024,21.09375,0.3090896010398865
33536,21.09375,0.30458396673202515
34048,24.21875,0.29697319865226746
34560,23.4375,0.3149685561656952
35072,26.5625,0.2976968288421631
35584,28.125,0.2977817952632904
36096,25.0,0.2972586750984192
36608,21.875,0.2971009910106659
37120,28.125,0.290924608707428
37504,25.78125,0.29854968190193176
38016,32.03125,0.284574955701828
38528,25.0,0.30121901631355286
39040,25.78125,0.3144814074039459
39552,25.0,0.3094916045665741
40064,25.0,0.3061061501502991
40576,25.78125,0.30107977986335754
41088,25.78125,0.30179673433303833
41600,28.90625,0.29167836904525757
42112,26.5625,0.29705652594566345
42624,32.03125,0.2772223651409149
43008,27.34375,0.2870783507823944
43520,28.90625,0.29689961671829224
44032,22.65625,0.30900460481643677
44544,29.6875,0.28585678339004517
45056,30.46875,0.29558056592941284
45568,21.875,0.3077717423439026
46080,35.15625,0.2841050922870636
46592,31.25,0.28789836168289185
47104,22.65625,0.2982182204723358
47616,28.90625,0.2923964858055115
48000,25.78125,0.29422709345817566
48512,28.125,0.2986205220222473
49024,22.65625,0.305109441280365
49536,21.09375,0.30516594648361206
50048,29.6875,0.3003997504711151
50560,30.46875,0.2844013571739197
51072,26.5625,0.29633089900016785
51584,17.96875,0.30410271883010864
52096,22.65625,0.2903466820716858
52608,25.0,0.28770050406455994
53120,34.375,0.28634095191955566
53504,32.8125,0.28754565119743347
54016,26.5625,0.30412620306015015
54528,28.90625,0.2926363945007324
55040,24.21875,0.29818981885910034
55552,27.34375,0.29061442613601685
56064,28.125,0.28270581364631653
56576,26.5625,0.2907210886478424
57088,28.90625,0.2774755358695984
57600,20.3125,0.30813759565353394
58112,31.25,0.28211766481399536
58624,33.59375,0.28022196888923645
59008,32.03125,0.28857892751693726
59520,33.59375,0.2780494689941406
60032,21.875,0.287952184677124
60544,28.90625,0.28493261337280273
61056,34.375,0.2809203267097473
61568,31.25,0.2786214053630829
62080,40.625,0.2658250033855438
62592,33.59375,0.2780824303627014
63104,40.625,0.2783028781414032
63616,32.8125,0.2631382942199707
64000,23.4375,0.29802340269088745
64512,28.125,0.2752642333507538
65024,27.34375,0.2933998107910156
65536,32.03125,0.27823492884635925
66048,28.90625,0.28121474385261536
66560,32.8125,0.27411431074142456
67072,32.8125,0.28174638748168945
67584,25.78125,0.29798728227615356
68096,32.03125,0.28125709295272827
68608,34.375,0.2876361310482025
69120,38.28125,0.2761246860027313
69504,32.03125,0.2831941246986389
70016,37.5,0.2753147482872009
70528,26.5625,0.27854686975479126
71040,32.8125,0.29356956481933594
71552,30.46875,0.2764277756214142
72064,37.5,0.2683869004249573
72576,35.9375,0.27809497714042664
73088,28.90625,0.2840452492237091
73600,28.125,0.2740754783153534
74112,30.46875,0.27981308102607727
74624,34.375,0.2750830054283142
75008,39.0625,0.27268117666244507
75520,30.46875,0.27917295694351196
76032,39.0625,0.26900941133499146
76544,28.125,0.28986021876335144
77056,32.8125,0.2859968841075897
