Step,Accuracy,Loss
512,10.15625,0.32428643107414246
1024,12.5,0.32197919487953186
1536,17.1875,0.3189101815223694
2048,8.59375,0.3229685425758362
2560,25.78125,0.31583887338638306
3072,18.75,0.31550315022468567
3584,10.9375,0.3238070607185364
4096,20.3125,0.31772705912590027
4608,11.71875,0.3220152258872986
5120,19.53125,0.31249573826789856
5504,17.1875,0.31256967782974243
6016,21.875,0.3033018410205841
6528,21.875,0.3053925037384033
7040,17.96875,0.31622013449668884
7552,31.25,0.2952928841114044
8064,32.03125,0.292042076587677
8576,18.75,0.3114642798900604
9088,22.65625,0.30520159006118774
9600,26.5625,0.29604727029800415
10112,26.5625,0.29120633006095886
10624,26.5625,0.2879796326160431
11008,25.78125,0.28946730494499207
11520,32.03125,0.29178333282470703
12032,32.03125,0.2950577437877655
12544,25.0,0.30098119378089905
13056,29.6875,0.28722384572029114
13568,25.0,0.2964380383491516
14080,30.46875,0.2868334650993347
14592,29.6875,0.3097585141658783
15104,32.8125,0.28875795006752014
15616,32.8125,0.2860918343067169
16000,37.5,0.2716999351978302
16512,30.46875,0.29547688364982605
17024,21.875,0.3084624409675598
17536,24.21875,0.288695365190506
18048,26.5625,0.2994747459888458
18560,22.65625,0.2990245521068573
19072,20.3125,0.3085269629955292
19584,31.25,0.278136283159256
20096,26.5625,0.2981815040111542
20608,21.875,0.2872263789176941
21120,37.5,0.2788253426551819
21504,30.46875,0.29944950342178345
22016,25.78125,0.2913814187049866
22528,21.875,0.3078049123287201
23040,28.90625,0.2943970561027527
23552,35.9375,0.28255823254585266
24064,38.28125,0.26986435055732727
24576,38.28125,0.26662638783454895
25088,28.90625,0.29245075583457947
25600,33.59375,0.2789035439491272
26112,32.8125,0.31204983592033386
26624,35.15625,0.2741675078868866
27008,35.15625,0.2783355414867401
27520,35.15625,0.2810807526111603
28032,28.125,0.2826266884803772
28544,35.15625,0.2662963271141052
29056,35.15625,0.2719455063343048
29568,30.46875,0.28396672010421753
30080,27.34375,0.29111436009407043
30592,32.03125,0.28603264689445496
31104,32.03125,0.2961730360984802
31616,29.6875,0.27951982617378235
32000,39.0625,0.26901915669441223
32512,36.71875,0.2708439230918884
33024,42.1875,0.2645273804664612
33536,35.9375,0.2769520580768585
34048,34.375,0.2822116017341614
34560,33.59375,0.28780531883239746
35072,36.71875,0.27627989649772644
35584,35.9375,0.2750642001628876
36096,29.6875,0.28602761030197144
36608,42.1875,0.2685217261314392
37120,34.375,0.26195216178894043
37504,34.375,0.27499812841415405
38016,47.65625,0.25611332058906555
38528,36.71875,0.27507254481315613
39040,38.28125,0.27529221773147583
39552,41.40625,0.2772361636161804
40064,44.53125,0.2644347846508026
40576,40.625,0.2722215950489044
41088,35.9375,0.2699403464794159
41600,38.28125,0.25867125391960144
42112,38.28125,0.26016920804977417
42624,38.28125,0.2722055912017822
43008,25.0,0.3133527636528015
43520,24.21875,0.29689547419548035
44032,32.8125,0.27501317858695984
44544,36.71875,0.2727856934070587
45056,39.0625,0.26180917024612427
45568,35.15625,0.25944018363952637
46080,45.3125,0.2549166679382324
46592,39.0625,0.2528362274169922
47104,45.3125,0.25750038027763367
47616,35.15625,0.26751139760017395
48000,39.84375,0.2810644805431366
48512,39.84375,0.2665746808052063
49024,46.09375,0.2615527808666229
49536,39.0625,0.26664185523986816
50048,36.71875,0.2672393023967743
50560,39.0625,0.2778944671154022
51072,40.625,0.2674885392189026
51584,41.40625,0.26319435238838196
52096,40.625,0.26285549998283386
52608,40.625,0.2723540961742401
53120,35.9375,0.27123814821243286
53504,38.28125,0.2764665484428406
54016,44.53125,0.25949665904045105
54528,43.75,0.27120158076286316
55040,50.0,0.24470044672489166
55552,32.03125,0.2864580452442169
56064,39.0625,0.2922825217247009
56576,32.8125,0.27248644828796387
57088,36.71875,0.2616574466228485
57600,36.71875,0.2686721980571747
58112,47.65625,0.2602594196796417
58624,43.75,0.24810148775577545
59008,46.09375,0.25061917304992676
59520,42.96875,0.24213053286075592
60032,38.28125,0.27690964937210083
60544,41.40625,0.25571590662002563
61056,42.96875,0.2512070834636688
61568,45.3125,0.27501437067985535
62080,38.28125,0.28224778175354004
62592,43.75,0.25566717982292175
63104,37.5,0.2657671272754669
63616,46.09375,0.24657410383224487
64000,42.96875,0.257144033908844
64512,41.40625,0.24019239842891693
65024,44.53125,0.24793507158756256
65536,47.65625,0.23053239285945892
66048,48.4375,0.2618749141693115
66560,45.3125,0.2764468789100647
67072,46.875,0.25353339314460754
67584,40.625,0.2711401581764221
68096,49.21875,0.25113824009895325
68608,49.21875,0.2561693787574768
69120,47.65625,0.256771057844162
69504,38.28125,0.2743162512779236
70016,45.3125,0.2680700123310089
70528,43.75,0.25580504536628723
71040,44.53125,0.25733089447021484
71552,51.5625,0.2525956928730011
72064,45.3125,0.25366073846817017
72576,39.0625,0.26602503657341003
73088,44.53125,0.2464752048254013
73600,48.4375,0.2719704508781433
74112,46.875,0.24637430906295776
74624,51.5625,0.24897457659244537
75008,49.21875,0.2467067837715149
75520,42.1875,0.2388937920331955
76032,49.21875,0.25111132860183716
76544,41.40625,0.24510663747787476
77056,45.3125,0.257152795791626
77568,43.75,0.24910281598567963
78080,43.75,0.2679961025714874
78592,46.875,0.2475394606590271
79104,48.4375,0.25536254048347473
79616,51.5625,0.23646968603134155
80000,43.75,0.2592447102069855
80512,35.9375,0.27652522921562195
81024,41.40625,0.27495142817497253
81536,47.65625,0.24124403297901154
82048,57.03125,0.21954895555973053
82560,39.84375,0.2530710697174072
83072,46.875,0.2536008954048157
83584,50.0,0.2298097461462021
84096,49.21875,0.22516034543514252
84608,49.21875,0.2447216957807541
85120,52.34375,0.21642154455184937
85504,50.78125,0.23880857229232788
86016,53.125,0.2507784068584442
86528,46.09375,0.24747270345687866
87040,45.3125,0.26208847761154175
87552,39.84375,0.28438979387283325
88064,48.4375,0.24662615358829498
88576,51.5625,0.25542905926704407
89088,46.09375,0.2447471022605896
89600,48.4375,0.24205875396728516
90112,47.65625,0.24116681516170502
90624,45.3125,0.2578727602958679
91008,57.03125,0.232866570353508
91520,48.4375,0.23974208533763885
92032,41.40625,0.28884291648864746
92544,42.96875,0.2596724331378937
93056,54.6875,0.22563575208187103
93568,57.8125,0.22339992225170135
94080,42.96875,0.2487686276435852
94592,53.125,0.2314571738243103
95104,52.34375,0.2404945343732834
95616,44.53125,0.2722008526325226
96000,55.46875,0.2186354696750641
96512,50.78125,0.2339351624250412
97024,50.0,0.22644571959972382
97536,50.78125,0.2417965531349182
98048,48.4375,0.25223395228385925
98560,55.46875,0.22850681841373444
99072,50.0,0.2359001487493515
99584,49.21875,0.2565784752368927
100096,50.0,0.2390594631433487
100608,46.09375,0.26006776094436646
101120,53.125,0.2252400517463684
101504,48.4375,0.2552805542945862
102016,56.25,0.22742897272109985
102528,50.0,0.23864860832691193
103040,46.09375,0.25406143069267273
103552,53.90625,0.2452244609594345
104064,54.6875,0.23030497133731842
104576,52.34375,0.21877449750900269
105088,54.6875,0.20974968373775482
105600,42.96875,0.2550818622112274
106112,56.25,0.23027943074703217
106624,49.21875,0.25031208992004395
107008,48.4375,0.2459261268377304
107520,54.6875,0.21166139841079712
108032,50.0,0.2345878928899765
108544,48.4375,0.22932051122188568
109056,53.125,0.25106504559516907
109568,53.125,0.22287632524967194
110080,57.8125,0.2303645759820938
110592,50.0,0.25449439883232117
111104,55.46875,0.2224869579076767
111616,58.59375,0.22476083040237427
112000,50.0,0.22901369631290436
112512,55.46875,0.24515491724014282
113024,57.03125,0.21415051817893982
113536,57.03125,0.1978926658630371
114048,50.78125,0.2255404144525528
114560,53.90625,0.23829466104507446
115072,59.375,0.20621004700660706
115584,44.53125,0.27785399556159973
116096,53.90625,0.21784470975399017
116608,56.25,0.22918027639389038
117120,44.53125,0.2591645121574402
117504,52.34375,0.2582721412181854
118016,47.65625,0.24340151250362396
118528,53.125,0.2203531265258789
119040,53.90625,0.24459928274154663
119552,57.8125,0.20794223248958588
120064,56.25,0.204548180103302
120576,51.5625,0.21448689699172974
121088,49.21875,0.26146531105041504
121600,57.8125,0.21291778981685638
122112,51.5625,0.2559826970100403
122624,58.59375,0.21440273523330688
123008,57.03125,0.23397229611873627
123520,55.46875,0.21370528638362885
124032,50.78125,0.2092268317937851
124544,52.34375,0.24068285524845123
125056,52.34375,0.23893064260482788
125568,60.15625,0.20778511464595795
126080,58.59375,0.21685336530208588
126592,55.46875,0.2156665176153183
127104,58.59375,0.22366243600845337
127616,54.6875,0.2186436802148819
128000,56.25,0.21338079869747162
128512,50.0,0.2808517813682556
129024,59.375,0.22623439133167267
129536,57.03125,0.20153769850730896
130048,51.5625,0.2460302859544754
130560,61.71875,0.22487832605838776
131072,52.34375,0.2401166558265686
131584,55.46875,0.20995093882083893
132096,55.46875,0.2292167693376541
132608,60.15625,0.18885520100593567
133120,63.28125,0.21140426397323608
133504,57.03125,0.22923780977725983
134016,54.6875,0.21051548421382904
134528,62.5,0.22962071001529694
135040,60.15625,0.2266264110803604
135552,45.3125,0.2677074074745178
136064,57.8125,0.205730140209198
136576,63.28125,0.22876693308353424
137088,56.25,0.2255220264196396
137600,62.5,0.20240241289138794
138112,58.59375,0.20976963639259338
138624,62.5,0.18146173655986786
139008,51.5625,0.23819945752620697
139520,53.125,0.22905582189559937
140032,52.34375,0.2469659298658371
140544,61.71875,0.20340347290039062
141056,46.09375,0.23596526682376862
141568,66.40625,0.21008628606796265
142080,61.71875,0.2180027961730957
142592,50.78125,0.23364759981632233
143104,60.15625,0.2044631838798523
143616,60.9375,0.1988530308008194
144000,61.71875,0.2031242996454239
144512,57.03125,0.20868200063705444
145024,47.65625,0.24507378041744232
145536,59.375,0.2051408886909485
146048,60.15625,0.1956292986869812
146560,63.28125,0.20524996519088745
147072,61.71875,0.22206586599349976
147584,55.46875,0.23567865788936615
148096,64.84375,0.20226973295211792
148608,59.375,0.2071847766637802
149120,66.40625,0.1871933788061142
149504,58.59375,0.22480769455432892
150016,61.71875,0.19756244122982025
150528,57.8125,0.21633729338645935
151040,70.3125,0.15789197385311127
151552,67.96875,0.19123193621635437
