Step,Accuracy,Loss
512,10.9375,0.3251347243785858
1024,12.5,0.32427579164505005
1536,13.8671875,0.324504554271698
2048,10.9375,0.32390719652175903
2560,13.28125,0.3229803442955017
3072,15.8203125,0.32320207357406616
3584,9.375,0.3238433301448822
4096,10.9375,0.32239672541618347
4608,12.3046875,0.32264429330825806
5120,13.28125,0.32230332493782043
5632,17.3828125,0.3214683532714844
6144,13.8671875,0.3200608789920807
6656,8.7890625,0.3212154507637024
7168,13.671875,0.3203015923500061
7680,20.3125,0.32000496983528137
8192,26.7578125,0.31892508268356323
8704,22.265625,0.31713756918907166
9216,19.53125,0.3153936266899109
9728,15.0390625,0.31574898958206177
10240,18.359375,0.31454864144325256
10752,22.65625,0.3138903081417084
11264,28.515625,0.31244710087776184
11776,32.421875,0.30951401591300964
12288,26.7578125,0.3092769980430603
12800,28.90625,0.30724167823791504
13312,31.25,0.30402684211730957
13824,33.7890625,0.2999587655067444
14336,36.328125,0.29873037338256836
14848,31.4453125,0.29891666769981384
15360,32.421875,0.29633620381355286
15872,33.203125,0.2908176779747009
16384,35.546875,0.29164204001426697
16896,34.765625,0.28434088826179504
17408,35.7421875,0.28281405568122864
17920,36.9140625,0.2794380486011505
18432,34.765625,0.2833349108695984
18944,36.9140625,0.281474769115448
19456,34.9609375,0.27862900495529175
19968,38.671875,0.2740306556224823
20480,39.0625,0.2749020755290985
20992,40.625,0.2742295563220978
21504,37.6953125,0.27498766779899597
22016,43.75,0.26332587003707886
22528,49.0234375,0.2571578323841095
23040,44.53125,0.25960773229599
23552,45.3125,0.2591361999511719
24064,47.4609375,0.256497323513031
24576,46.2890625,0.25519436597824097
25088,46.2890625,0.25030308961868286
25600,45.703125,0.24833561480045319
26112,45.3125,0.2518720328807831
26624,51.171875,0.24445249140262604
27136,51.171875,0.23920796811580658
27648,48.4375,0.24362272024154663
28160,58.3984375,0.23232124745845795
28672,52.734375,0.23868419229984283
29184,50.390625,0.2420448660850525
29696,53.7109375,0.235460102558136
30208,58.59375,0.2228262573480606
30720,55.859375,0.2260875105857849
31232,55.6640625,0.23231595754623413
31744,52.1484375,0.23105959594249725
32256,56.4453125,0.22121137380599976
32768,54.1015625,0.2283572554588318
33280,54.6875,0.2201923429965973
33792,55.859375,0.22144126892089844
34304,55.2734375,0.21781422197818756
34816,60.546875,0.21114946901798248
35328,55.2734375,0.2180503010749817
35840,56.640625,0.21404409408569336
36352,59.9609375,0.21500207483768463
36864,60.3515625,0.21207517385482788
37376,56.0546875,0.21594737470149994
37888,54.6875,0.21482588350772858
38400,54.4921875,0.21828192472457886
38912,57.03125,0.21417786180973053
39424,57.6171875,0.21272486448287964
39936,58.7890625,0.20954515039920807
40448,61.9140625,0.20354214310646057
40960,58.59375,0.21006831526756287
41472,65.625,0.1980295032262802
41984,58.3984375,0.20600682497024536
42496,60.9375,0.19840329885482788
43008,59.1796875,0.20577174425125122
43520,60.546875,0.20187896490097046
44032,56.8359375,0.20786286890506744
44544,58.7890625,0.2036876678466797
45056,57.421875,0.19954749941825867
45568,60.546875,0.19924689829349518
46080,63.28125,0.1911293864250183
46592,58.59375,0.20291709899902344
47104,59.765625,0.20133647322654724
47616,67.7734375,0.18360759317874908
48128,60.7421875,0.19429300725460052
48640,58.7890625,0.19927078485488892
49152,60.15625,0.19306030869483948
49664,58.59375,0.1959342360496521
50176,61.71875,0.19303323328495026
50688,63.671875,0.18968813121318817
51200,59.5703125,0.19643323123455048
51712,66.40625,0.18015243113040924
52224,59.765625,0.19555942714214325
52736,65.625,0.18491363525390625
53248,66.2109375,0.18635128438472748
53760,63.28125,0.19184106588363647
54272,64.2578125,0.19151121377944946
54784,65.0390625,0.17760483920574188
55296,63.28125,0.1950692981481552
55808,64.6484375,0.17996008694171906
56320,61.71875,0.18661810457706451
56832,64.0625,0.18470412492752075
57344,61.9140625,0.19165755808353424
57856,65.625,0.17727907001972198
58368,63.28125,0.182785764336586
58880,63.671875,0.18257072567939758
59392,66.9921875,0.1776258796453476
59904,65.234375,0.18378716707229614
60416,65.625,0.18112875521183014
60928,68.5546875,0.16911743581295013
61440,68.75,0.17247363924980164
61952,66.2109375,0.17559178173542023
62464,65.4296875,0.17886869609355927
62976,63.8671875,0.18244926631450653
63488,62.5,0.17885683476924896
64000,64.84375,0.17985980212688446
64512,66.40625,0.17835427820682526
65024,62.890625,0.17961843311786652
65536,70.1171875,0.16961224377155304
66048,65.8203125,0.17810653150081635
66560,67.1875,0.16991129517555237
67072,66.796875,0.16908885538578033
67584,65.234375,0.18068622052669525
68096,64.6484375,0.18771560490131378
68608,66.2109375,0.17999865114688873
69120,66.40625,0.1817803531885147
69632,67.96875,0.17897294461727142
70144,65.234375,0.16438141465187073
70656,66.796875,0.1643117219209671
71168,65.0390625,0.17689011991024017
71680,69.53125,0.16460952162742615
72192,67.3828125,0.16355468332767487
72704,68.1640625,0.17221547663211823
73216,66.2109375,0.16971491277217865
73728,72.4609375,0.16251714527606964
74240,68.75,0.16098830103874207
74752,70.8984375,0.1614784300327301
75264,69.921875,0.16624854505062103
75776,68.75,0.16479946672916412
76288,68.75,0.16337504982948303
76800,71.09375,0.16300222277641296
77312,69.53125,0.16118796169757843
77824,67.578125,0.17126105725765228
78336,67.7734375,0.17220352590084076
78848,70.1171875,0.16641117632389069
79360,68.75,0.16605058312416077
79872,70.5078125,0.16117438673973083
80384,71.2890625,0.16281691193580627
80896,71.484375,0.16050854325294495
81408,67.7734375,0.1624622344970703
81920,71.875,0.15346527099609375
82432,70.8984375,0.16224543750286102
82944,69.140625,0.16468879580497742
83456,69.140625,0.16412153840065002
83968,70.703125,0.15649423003196716
84480,70.3125,0.15900088846683502
84992,71.875,0.1520080417394638
85504,68.75,0.1640152931213379
86016,68.75,0.15977534651756287
86528,73.6328125,0.15823675692081451
87040,70.5078125,0.16081294417381287
87552,69.7265625,0.15276753902435303
88064,72.8515625,0.15106162428855896
88576,72.0703125,0.15414167940616608
89088,67.96875,0.1632157266139984
89600,67.7734375,0.16828307509422302
90112,70.8984375,0.15737031400203705
90624,70.5078125,0.15450842678546906
91136,68.5546875,0.16564719378948212
91648,72.8515625,0.14858940243721008
92160,71.875,0.14951619505882263
92672,71.6796875,0.15801724791526794
93184,69.53125,0.16295449435710907
93696,72.8515625,0.15600299835205078
94208,73.4375,0.1533231884241104
94720,71.484375,0.15216884016990662
95232,70.8984375,0.15357306599617004
95744,73.4375,0.1507650911808014
96256,75.390625,0.14434830844402313
96768,70.703125,0.159750297665596
97280,66.796875,0.1626986563205719
97792,68.359375,0.16353020071983337
98304,68.359375,0.16781190037727356
98816,75.390625,0.1438058316707611
99328,75.0,0.14217998087406158
99840,68.9453125,0.15911148488521576
100352,70.3125,0.15691474080085754
100864,72.65625,0.15967997908592224
101376,70.3125,0.15204104781150818
101888,71.875,0.15970824658870697
102400,68.1640625,0.16452732682228088
102912,72.65625,0.15752831101417542
103424,66.9921875,0.163511261343956
103936,74.609375,0.14403922855854034
104448,70.703125,0.15791989862918854
104960,70.8984375,0.15787479281425476
105472,70.3125,0.1537417471408844
105984,71.6796875,0.1557953655719757
106496,70.1171875,0.15267005562782288
107008,72.265625,0.15174363553524017
107520,75.0,0.14715997874736786
108032,69.53125,0.15987856686115265
108544,73.4375,0.15290316939353943
109056,73.4375,0.15149012207984924
109568,71.484375,0.15915274620056152
110080,72.265625,0.14772866666316986
110592,76.3671875,0.13931189477443695
111104,69.140625,0.1626909077167511
111616,71.6796875,0.15088680386543274
112128,72.0703125,0.14738504588603973
112640,69.921875,0.15341472625732422
113152,70.703125,0.15728947520256042
113664,69.7265625,0.15340003371238708
114176,70.3125,0.15462854504585266
114688,69.7265625,0.15413419902324677
115200,69.921875,0.1567010134458542
115712,71.09375,0.1532856523990631
116224,70.3125,0.15688082575798035
116736,72.8515625,0.14478930830955505
117248,71.2890625,0.14791464805603027
117760,76.171875,0.1390906274318695
118272,73.828125,0.14494764804840088
118784,75.78125,0.14285948872566223
119296,73.046875,0.14414778351783752
119808,71.6796875,0.15134193003177643
120320,74.21875,0.14005878567695618
120832,75.0,0.13696123659610748
121344,73.4375,0.1426384150981903
121856,74.4140625,0.14404189586639404
122368,75.1953125,0.1409905105829239
122880,71.484375,0.14481839537620544
123392,74.4140625,0.1476578712463379
123904,71.484375,0.14807312190532684
124416,71.875,0.1471327245235443
124928,75.9765625,0.13903167843818665
125440,73.828125,0.13976719975471497
125952,71.484375,0.15219447016716003
126464,71.2890625,0.14558489620685577
126976,76.7578125,0.13934564590454102
127488,72.0703125,0.14494779706001282
128000,73.6328125,0.13973721861839294
128512,69.921875,0.15176331996917725
129024,74.21875,0.14519141614437103
129536,72.4609375,0.137960284948349
130048,73.828125,0.14466163516044617
130560,73.2421875,0.1386609971523285
131072,74.4140625,0.1370718628168106
131584,77.5390625,0.13386525213718414
132096,77.5390625,0.13229069113731384
132608,71.484375,0.15006443858146667
133120,76.7578125,0.14075204730033875
133632,74.609375,0.1404745727777481
134144,76.3671875,0.1417246013879776
134656,73.2421875,0.14603403210639954
135168,76.171875,0.1353289932012558
135680,74.8046875,0.13807819783687592
136192,71.484375,0.1536426842212677
136704,74.609375,0.13610003888607025
137216,73.046875,0.14061500132083893
137728,75.5859375,0.1309395730495453
138240,73.6328125,0.14414989948272705
138752,75.0,0.13433578610420227
139264,75.1953125,0.14266228675842285
139776,75.78125,0.13663922250270844
140288,76.3671875,0.1363173872232437
140800,73.6328125,0.14002110064029694
141312,75.78125,0.13908949494361877
141824,73.6328125,0.1452445685863495
142336,74.8046875,0.13812008500099182
142848,75.0,0.14371296763420105
143360,75.1953125,0.1356775462627411
143872,79.6875,0.1311274617910385
144384,76.171875,0.13598276674747467
144896,76.7578125,0.13356316089630127
145408,74.21875,0.13968311250209808
145920,76.5625,0.13691863417625427
146432,77.734375,0.1330777257680893
146944,77.9296875,0.133561372756958
147456,74.8046875,0.13903796672821045
147968,76.7578125,0.13827326893806458
148480,73.6328125,0.1417243331670761
148992,72.8515625,0.13842342793941498
149504,77.734375,0.13137206435203552
150016,75.1953125,0.1336255967617035
150528,76.5625,0.12861917912960052
151040,76.3671875,0.12958267331123352
151552,75.0,0.13769219815731049
152064,73.828125,0.13265526294708252
152576,73.2421875,0.13978885114192963
153088,74.21875,0.13369633257389069
153600,75.1953125,0.13534438610076904
154112,77.734375,0.1366051733493805
154624,74.0234375,0.1314631551504135
155136,73.2421875,0.1445145457983017
155648,76.3671875,0.13192394375801086
156160,76.5625,0.13572156429290771
156672,73.6328125,0.1373353898525238
157184,75.390625,0.13355134427547455
157696,70.5078125,0.14253006875514984
158208,76.953125,0.14106550812721252
158720,80.2734375,0.12439265102148056
159232,75.9765625,0.13538621366024017
159744,75.9765625,0.130599245429039
160256,77.734375,0.13100537657737732
160768,75.78125,0.14117325842380524
161280,77.734375,0.1390427201986313
161792,75.390625,0.13687321543693542
162304,74.8046875,0.13941988348960876
162816,77.1484375,0.13177858293056488
163328,75.78125,0.13425399363040924
163840,75.0,0.1343282163143158
164352,76.953125,0.13892759382724762
164864,74.4140625,0.1380894035100937
165376,75.5859375,0.13819727301597595
165888,73.2421875,0.14177583158016205
166400,74.4140625,0.13713261485099792
166912,79.4921875,0.12541934847831726
167424,78.7109375,0.12714408338069916
167936,73.046875,0.1385514885187149
168448,76.7578125,0.13178981840610504
168960,72.0703125,0.14094902575016022
169472,75.78125,0.13364754617214203
169984,79.1015625,0.12319778650999069
170496,78.515625,0.12532605230808258
171008,77.34375,0.12782728672027588
171520,77.1484375,0.12902948260307312
172032,76.7578125,0.1319369077682495
172544,74.21875,0.1353035271167755
173056,79.6875,0.1274404227733612
173568,76.5625,0.13128028810024261
174080,79.4921875,0.1225455030798912
174592,77.734375,0.12553976476192474
175104,73.6328125,0.1334562450647354
175616,78.515625,0.12056910246610641
176128,75.78125,0.13241150975227356
176640,77.734375,0.1278735250234604
177152,78.125,0.12433598190546036
177664,78.3203125,0.12332094460725784
178176,74.4140625,0.13153444230556488
178688,76.953125,0.12859927117824554
179200,76.3671875,0.12392208725214005
179712,80.2734375,0.12557829916477203
180224,76.171875,0.1301688253879547
180736,78.3203125,0.12211892008781433
181248,77.734375,0.1263817846775055
181760,76.5625,0.1371559053659439
182272,79.8828125,0.13137517869472504
182784,78.3203125,0.12865151464939117
183296,76.953125,0.13290823996067047
183808,73.2421875,0.1279006153345108
184320,74.609375,0.13665315508842468
184832,77.1484375,0.12412656098604202
185344,77.34375,0.1279434859752655
185856,80.46875,0.11701763421297073
186368,76.953125,0.12766291201114655
186880,76.953125,0.12380563467741013
187392,75.1953125,0.1367199569940567
187904,74.609375,0.13251164555549622
188416,77.9296875,0.13505062460899353
188928,76.953125,0.13180933892726898
189440,79.296875,0.12112760543823242
189952,77.9296875,0.12256716936826706
190464,78.3203125,0.11752179265022278
190976,78.515625,0.12176216393709183
191488,76.5625,0.12969323992729187
192000,78.3203125,0.13294638693332672
192512,79.4921875,0.1255577653646469
193024,76.7578125,0.1288314014673233
193536,79.6875,0.11824726313352585
