Data,Loss,Accuracy,Test Loss,Test Accuracy
0,2.3112738132476807,0.08984375,2.3000292778015137,0.09765625
25600,1.7069480419158936,0.2724984884262085,1.6679773330688477,0.2760539650917053
51200,1.4644880294799805,0.3631674647331238,1.4273929595947266,0.36497145891189575
76800,1.3550922870635986,0.43023285269737244,1.1693559885025024,0.4317414462566376
102400,1.2588852643966675,0.4799256920814514,1.0668823719024658,0.48096176981925964
128000,1.0144537687301636,0.5198211669921875,1.05379056930542,0.5203824043273926
153600,1.0445187091827393,0.5501896142959595,0.9267568588256836,0.5507305264472961
179200,0.8860421180725098,0.574180543422699,0.8846567869186401,0.5746648907661438
204800,0.889153778553009,0.5944567322731018,0.8901541233062744,0.5947551727294922
230400,0.7801161408424377,0.611892819404602,0.7956775426864624,0.6122051477432251
256000,0.7566788196563721,0.6274996995925903,0.7880315780639648,0.6277542114257812
281600,0.6933059692382812,0.6408995389938354,0.7285115718841553,0.6411280035972595
307200,0.7509064078330994,0.6526878476142883,0.631266176700592,0.6529353857040405
332800,0.611870288848877,0.6632506847381592,0.7013630270957947,0.663454532623291
358400,0.6254170536994934,0.6731643080711365,0.6254122853279114,0.6733343601226807
384000,0.6282812356948853,0.6819032430648804,0.5961876511573792,0.6820785999298096
409600,0.6203656196594238,0.690041184425354,0.6002785563468933,0.6901742219924927
435200,0.5995073914527893,0.6971756219863892,0.5555060505867004,0.6973353028297424
460800,0.629235029220581,0.7035861611366272,0.4690079689025879,0.703757643699646
486400,0.49768272042274475,0.7098804116249084,0.5556036233901978,0.7099981307983398
512000,0.5930567979812622,0.7157810926437378,0.5655248165130615,0.7158890962600708
537600,0.6259303092956543,0.7213207483291626,0.49942800402641296,0.7214221358299255
563200,0.5707228183746338,0.7262964248657227,0.48018914461135864,0.7264026403427124
588800,0.4774077832698822,0.7310943007469177,0.5094467401504517,0.7311901450157166
614400,0.5129069089889526,0.7354767322540283,0.45133835077285767,0.7355762124061584
640000,0.5048664808273315,0.7396848797798157,0.44782334566116333,0.7397724986076355
665600,0.4771815240383148,0.7437344193458557,0.48993515968322754,0.743806779384613
691200,0.5409746170043945,0.7474218010902405,0.4561881721019745,0.7475157380104065
716800,0.4674951136112213,0.7511590123176575,0.4274374544620514,0.7512428760528564
742400,0.4273090064525604,0.7546637654304504,0.4168712794780731,0.7547450065612793
768000,0.40544068813323975,0.7579783201217651,0.40401095151901245,0.7580496072769165
793600,0.42465320229530334,0.7611668705940247,0.4146770238876343,0.761236310005188
819200,0.4524471163749695,0.7643069624900818,0.41219034790992737,0.7643675208091736
844800,0.41224879026412964,0.7672104835510254,0.3439924716949463,0.7672871947288513
870400,0.4512847661972046,0.7699083685874939,0.39397817850112915,0.7699609994888306
896000,0.4396215081214905,0.772469699382782,0.421363890171051,0.7725281715393066
921600,0.420527845621109,0.7750418782234192,0.4808145761489868,0.7750792503356934
947200,0.38155102729797363,0.7775113582611084,0.4146954119205475,0.7775557041168213
972800,0.4180860221385956,0.7799113392829895,0.40216994285583496,0.7799533009529114
998400,0.39897966384887695,0.7821382284164429,0.433714359998703,0.7821711301803589
1024000,0.3465445935726166,0.7844347357749939,0.3790796101093292,0.784481942653656
1049600,0.3625882863998413,0.7865566611289978,0.4692673981189728,0.7865793108940125
1075200,0.3413538932800293,0.7886587381362915,0.3853304982185364,0.7887035608291626
1100800,0.360227108001709,0.7905856370925903,0.3017435073852539,0.7906454801559448
1126400,0.3200140595436096,0.7925006747245789,0.3427143096923828,0.7925409078598022
1152000,0.40221408009529114,0.7943314909934998,0.372035950422287,0.794368326663971
1177600,0.3244436979293823,0.7962342500686646,0.3449154794216156,0.7962719202041626
1203200,0.39282888174057007,0.7978824973106384,0.3328792452812195,0.7979187369346619
1228800,0.3345712125301361,0.799579381942749,0.38793686032295227,0.7996101975440979
1254400,0.4647638201713562,0.8011640906333923,0.3612343966960907,0.8011959195137024
1280000,0.40594935417175293,0.8026517033576965,0.41304677724838257,0.8026731610298157
1305600,0.33516740798950195,0.8041320443153381,0.3687645196914673,0.8041599988937378
1331200,0.34664079546928406,0.8056312799453735,0.34010621905326843,0.8056647777557373
1356800,0.34379005432128906,0.8070985674858093,0.3091709017753601,0.8071308732032776
1382400,0.3064328730106354,0.8085781335830688,0.3563278913497925,0.8086100220680237
1408000,0.3331412672996521,0.809887707233429,0.28055572509765625,0.8099241256713867
1433600,0.323509156703949,0.8111744523048401,0.38141992688179016,0.8111994862556458
1459200,0.36785265803337097,0.8124288320541382,0.33987879753112793,0.8124549984931946
1484800,0.31822967529296875,0.8136603832244873,0.33927011489868164,0.8136830925941467
1510400,0.4328151345252991,0.8148632049560547,0.35697227716445923,0.8148857951164246
1536000,0.37229010462760925,0.8161618709564209,0.318088173866272,0.8161855340003967
1561600,0.34659963846206665,0.8173903226852417,0.35942211747169495,0.817406952381134
1587200,0.30428430438041687,0.8185316324234009,0.3567858636379242,0.8185526132583618
1612800,0.26999062299728394,0.819645881652832,0.29781317710876465,0.819672167301178
